編號,案類,發生日期,發生時段,發生地點
111,自行車竊盜,1040417,10~12,臺北市士林區福德里福德路1~30號
112,自行車竊盜,1040420,00~02,臺北市文山區興業里興隆路2段220巷31~60號
113,自行車竊盜,1040421,10~12,臺北市大安區基隆路3段156巷(台大校園自行車停車場)
114,自行車竊盜,1040421,16~18,臺北市文山區景東里景華街104巷(口)
115,自行車竊盜,1040426,04~06,臺北市大同區雙連里重慶北路(歸綏街)
116,自行車竊盜,1040427,14~16,臺北市大安區龍門里建國南路2段241~270號
117,自行車竊盜,1040427,14~16,臺北市南港區聯成里忠孝東路6段301~330號
118,自行車竊盜,1040428,10~12,臺北市信義區永吉路331~360號
119,自行車竊盜,1040501,02~04,臺北市大安區德安里四維路76巷
120,自行車竊盜,1040501,16~18,臺北市大安區福住里新生南路2段31~60號
121,自行車竊盜,1040501,16~18,臺北市大同區北門站
122,自行車竊盜,1040501,22~24,臺北市信義區六合里信義路5段150巷271~300號
123,自行車竊盜,1040503,12~14,臺北市松山區撫遠街391~420號
124,自行車竊盜,1040503,16~18,臺北市中正區新營里捷運古亭站七號
125,自行車竊盜,1040503,20~22,臺北市中正區黎明里市民大道
126,自行車竊盜,1040507,18~20,臺北市文山區樟文里忠順街1段1~30號
127,自行車竊盜,1040507,22~24,臺北市文山區樟樹里木新路3段151~180號
128,自行車竊盜,1040509,14~16,臺北市士林區蘭雅里德行東路109巷61~90號
129,自行車竊盜,1040509,20~22,臺北市中正區臺大醫院捷運站2號
130,自行車竊盜,1040510,12~14,臺北市士林區義信里中山北路5段61~90號
131,自行車竊盜,1040510,14~16,臺北市信義區松友里信義路6段72巷2弄31~60號
132,自行車竊盜,1040510,22~24,臺北市萬華區青年路106巷1~30號
133,自行車竊盜,1040511,06~08,臺北市文山區興邦里興隆路2段181~210號
134,自行車竊盜,1040513,12~14,臺北市萬華區貴陽街151~180號
135,自行車竊盜,1040516,22~24,臺北市大安區龍門里新生南路2段1~30號
136,自行車竊盜,1040517,16~18,臺北市中正區文祥里金山南路1段101巷1~30號
137,自行車竊盜,1040517,16~18,臺北市大同區大龍街1~30號
138,自行車竊盜,1040518,16~18,臺北市信義區安康里松德路(興雅國中校門口左側)
139,自行車竊盜,1040519,18~20,臺北市士林區義信里中山北路5段61~90號
140,自行車竊盜,1040520,08~10,臺北市大安區龍圖里信義路3段181~210號
141,自行車竊盜,1040521,12~14,臺北市中正區中正紀念堂
142,自行車竊盜,1040526,08~10,臺北市中山區撫順公園
143,自行車竊盜,1040527,16~18,臺北市內湖區港墘里內湖路1段629巷31~60號
144,自行車竊盜,1040528,14~16,臺北市士林區中山北路5段61~90號
145,自行車竊盜,1040529,00~02,臺北市中正區黎明里武昌街一段1~30號
146,自行車竊盜,1040529,04~06,臺北市文山區萬興里指南路2段1~30號
147,自行車竊盜,1040529,06~08,臺北市文山區木柵里木柵路3段85巷14弄1~30號
148,自行車竊盜,1040530,10~12,臺北市松山區民生東路5段36巷6弄1~30號
149,自行車竊盜,1040530,16~18,臺北市北投區吉利里致遠二路61~90號
150,自行車竊盜,1040601,00~02,臺北市大同區建泰里南京西路18巷1~30號
151,自行車竊盜,1040601,04~06,臺北市大安區芳和里樂業街94巷1~30號
152,自行車竊盜,1040602,14~16,臺北市北投區泉源里東昇路91~120號
153,自行車竊盜,1040603,10~12,臺北市大安區學府里16鄰羅斯福路4段1~30號
154,自行車竊盜,1040604,06~08,臺北市北投區立農里立農街1段279巷2弄1~30號
155,自行車竊盜,1040604,14~16,臺北市信義區廣居里忠孝東路5段451~480號
156,自行車竊盜,1040604,22~24,臺北市中正區幸福里忠孝東路1段84巷
157,自行車竊盜,1040605,04~06,臺北市大安區光明里杭州南路2段9巷1~30號
158,自行車竊盜,1040606,02~04,臺北市大安區錦安里7鄰金山南路2段185巷1~30號
159,自行車竊盜,1040607,12~14,臺北市北投區關渡里知行路301~330號
160,自行車竊盜,1040609,00~02,臺北市士林區社園里延平北路6段151~180號
161,自行車竊盜,1040609,06~08,臺北市內湖區康樂街136巷29弄31~60號
162,自行車竊盜,1040609,16~18,臺北市信義區松智路(與松廉路口)
163,自行車竊盜,1040609,20~22,臺北市文山區明義里木柵路2段61~90號
164,自行車竊盜,1040610,02~04,臺北市北投區福興里自強街31巷31~60號
165,自行車竊盜,1040610,02~04,臺北市北投區福興里自強街31巷31~60號
166,自行車竊盜,1040613,00~02,臺北市南港區九如里研究院路2段211~240號
167,自行車竊盜,1040613,04~06,臺北市松山區南京東路5段291巷47弄
168,自行車竊盜,1040613,12~14,臺北市中山區新生北路3段31~60號
169,自行車竊盜,1040613,12~14,臺北市中山區新生北路3段31~60號
170,自行車竊盜,1040613,14~16,臺北市北投區榮華里東華街1段48巷1~30號
171,自行車竊盜,1040613,16~18,臺北市中正區東門里信義路1段1~30號
172,自行車竊盜,1040614,00~02,臺北市文山區景東里景華街82巷1~30號
173,自行車竊盜,1040615,16~18,臺北市大安區敦安里6鄰仁愛路4段121~150號
174,自行車竊盜,1040616,22~24,臺北市大安區龍泉里師大路1~30號
175,自行車竊盜,1040619,04~06,臺北市內湖區民權東路6段296巷31~60號
176,自行車竊盜,1040619,04~06,臺北市中山區松江路301~330號
177,自行車竊盜,1040622,08~10,臺北市南港區合成里忠孝東路6段1~30號
178,自行車竊盜,1040623,04~06,臺北市大同區環河北路2段1~30號
179,自行車竊盜,1040623,08~10,臺北市南港區昆陽捷運站腳踏車停車場
180,自行車竊盜,1040623,08~10,臺北市大安區和平東路3段181~210號
181,自行車竊盜,1040623,08~10,臺北市南港區合成里(昆陽捷運站旁停車場)
182,自行車竊盜,1040625,06~08,臺北市信義區興雅里永吉路30巷121~150號
183,自行車竊盜,1040625,14~16,臺北市信義區興雅里松高路1~30號
184,自行車竊盜,1040629,20~22,臺北市北投區吉利里西安街1段(石牌國中側門旁人行道~竊腳踏車)
185,自行車竊盜,1040630,14~16,臺北市大同區玉泉里鄭州路121~150號
186,自行車竊盜,1040701,00~02,臺北市中正區文盛里羅斯福路4段1~30號
187,自行車竊盜,1040701,20~22,臺北市松山區南京東路5段(三民路捷運三民南京站)
188,自行車竊盜,1040702,18~20,臺北市中正區三愛里信義路2段241~270號
189,自行車竊盜,1040702,18~20,臺北市文山區樟文里辛亥路7段69巷1~30號
190,自行車竊盜,1040703,20~22,臺北市信義區興雅里忠孝東路5段1~30號
191,自行車竊盜,1040704,14~16,臺北市中山區天祥路1~30號
192,自行車竊盜,1040705,10~12,臺北市大安區學府里羅斯福路4段1~30號
193,自行車竊盜,1040705,16~18,臺北市信義區永春里忠孝東路5段(後山埤捷運站1號
194,自行車竊盜,1040706,14~16,臺北市中山區中山北路2段91~120號
195,自行車竊盜,1040707,12~14,臺北市大安區新龍里建國南路2段121~150號
196,自行車竊盜,1040707,16~18,臺北市萬華區中華路2段504巷1~30號
197,自行車竊盜,1040708,12~14,臺北市文山區萬隆里萬隆街61~90號
198,自行車竊盜,1040710,10~12,臺北市松山區光復北路61~90號
